# SOC,Actual SOC,Current,Calculated SOC ,Time,Time final
0.970562411,97.0562411,12.49697399,96.91293515,7441.024087,540
0.970422898,97.0422898,12.49697399,96.89823283,7442.024087,541
0.97028339,97.028339,12.49672416,96.8835305,7443.024087,542
0.970143875,97.0143875,12.49310047,96.86882848,7444.024087,543
0.970004367,97.0004367,12.49697399,96.85413071,7445.024087,544
0.969864849,96.9864849,12.49697399,96.83942839,7446.024087,545
0.969725334,96.9725334,12.49694871,96.82472607,7447.024087,546
0.969585821,96.9585821,12.49293716,96.81002377,7448.024087,547
0.969446305,96.9446305,12.49290657,96.7953262,7449.024087,548
0.969306792,96.9306792,12.49683118,96.78062866,7450.024087,549
0.96916728,96.916728,12.49310562,96.76592651,7451.024087,550
0.969027771,96.9027771,12.48909326,96.75122874,7452.024087,551
0.968888257,96.8888257,12.49259535,96.73653569,7453.024087,552
0.968748745,96.8748745,12.49290657,96.72183851,7454.024087,553
0.968609228,96.8609228,12.49655053,96.70714098,7455.024087,554
0.968469707,96.8469707,12.49697399,96.69243915,7456.024087,555
0.968330192,96.8330192,12.50050673,96.67773683,7457.024087,556
0.96819068,96.819068,12.49408997,96.66303035,7458.024087,557
0.968051167,96.8051167,12.49290657,96.64833142,7459.024087,558
0.967911657,96.7911657,12.49627008,96.63363389,7460.024087,559
0.967772149,96.7772149,12.49697399,96.61893239,7461.024087,560
0.967632634,96.7632634,12.49372266,96.60423007,7462.024087,561
0.967493115,96.7493115,12.49290657,96.58953157,7463.024087,562
0.967353598,96.7353598,12.49290657,96.57483404,7464.024087,563
0.967214079,96.7214079,12.49598956,96.5601365,7465.024087,564
0.967074561,96.7074561,12.49697399,96.54543533,7466.024087,565
0.966935046,96.6935046,12.49400345,96.53073301,7467.024087,566
0.966795534,96.6795534,12.49290657,96.51603418,7468.024087,567
0.966656018,96.6656018,12.49576501,96.50133665,7469.024087,568
0.966516503,96.6516503,12.49417158,96.48663575,7470.024087,569
0.966376991,96.6376991,12.49290657,96.47193672,7471.024087,570
0.966237475,96.6237475,12.49559683,96.45723918,7472.024087,571
0.96609796,96.609796,12.49697399,96.44253848,7473.024087,572
0.965958448,96.5958448,12.49697399,96.42783616,7474.024087,573
0.96581893,96.581893,12.49445231,96.41313384,7475.024087,574
